id_client,plafond_credit_eur,sexe,niveau_education,situation_familiale,age,retard_paiement_sep_2023,retard_paiement_aou_2023,retard_paiement_juil_2023,retard_paiement_juin_2023,retard_paiement_mai_2023,retard_paiement_avr_2023,encours_carte_sep_2023_eur,encours_carte_aou_2023_eur,encours_carte_juil_2023_eur,encours_carte_juin_2023_eur,encours_carte_mai_2023_eur,encours_carte_avr_2023_eur,montant_rembourse_sep_2023_eur,montant_rembourse_aou_2023_eur,montant_rembourse_juil_2023_eur,montant_rembourse_juin_2023_eur,montant_rembourse_mai_2023_eur,montant_rembourse_avr_2023_eur,defaut_paiement_mois_suivant
76,560,1,2,2,24,0,0,2,0,0,0,409,482,466,475,485,519,80,0,17,18,42,0,0
77,1400,1,3,2,25,-1,0,0,0,0,0,1199,1042,1010,270,269,281,49,50,9,14,28,28,0
78,8400,2,1,1,45,-1,-1,-1,-1,-1,-1,8,8,8,8,8,8,8,8,8,8,8,8,0
79,840,2,2,2,22,0,0,0,0,0,0,795,829,849,784,740,180,47,39,16,84,49,0,1
80,6720,2,2,2,44,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
81,13160,2,3,3,33,0,0,0,0,0,0,4627,4418,4556,1958,820,837,179,212,84,27,28,84,0
82,10080,2,1,2,26,0,0,0,0,0,-1,656,778,851,927,5040,5,134,95,87,4113,5,83,0
83,1680,1,3,2,30,0,0,0,0,0,0,737,769,787,616,557,554,44,34,18,22,32,0,1
84,11200,2,2,1,44,0,0,2,0,0,0,3685,3894,3551,2924,2940,2634,300,0,85,84,90,78,0
85,1400,2,3,2,49,0,0,0,0,0,0,1369,1340,602,572,542,545,47,36,20,20,24,23,0
86,4480,1,2,2,33,0,0,0,0,0,0,3641,3019,2014,3316,3315,3372,123,99,2240,126,134,126,0
87,10080,2,1,1,45,-1,-1,2,0,-1,-1,11,33,22,11,11,11,33,0,0,11,11,11,1
88,4480,2,2,2,32,0,0,0,0,0,-1,107,133,185,241,198,21,32,56,56,0,21,64,0
89,3640,2,1,1,35,0,0,0,-1,-1,-1,2277,3300,497,37,199,33,1120,140,37,199,33,59,0
90,560,1,3,2,44,2,2,0,0,0,2,240,232,270,294,345,335,0,46,28,56,0,42,0
91,5600,1,1,1,53,2,2,2,2,2,2,3869,3942,3989,4035,4119,4187,176,154,154,154,140,140,1
92,7840,2,1,2,39,-1,-1,-1,0,0,-2,211,0,111,108,0,0,0,111,0,0,0,0,0
93,2800,2,1,2,27,-2,-2,-2,-2,-2,-2,-56,156,0,0,0,0,212,0,0,0,0,0,0
94,4480,2,2,1,37,-1,-1,-1,-1,-1,-2,25,45,24,24,0,0,45,24,24,0,0,217,0
95,1680,2,2,2,23,0,0,0,0,0,0,1278,1312,1322,549,538,541,54,36,19,19,23,23,0
96,2520,1,2,2,35,0,0,0,0,0,0,2344,2408,2454,996,866,863,101,101,33,31,31,32,0
97,10080,1,1,1,43,-1,-1,-1,-1,-1,0,111,233,95,181,738,279,233,95,361,756,0,1931,0
98,4200,1,1,2,27,0,0,0,0,0,0,2408,2411,2492,2514,2456,1142,113,280,91,113,48,22,0
99,1400,2,3,1,22,0,0,0,0,0,0,524,508,476,368,248,221,40,33,11,8,9,6,0
100,560,1,2,1,38,0,0,0,0,0,-1,503,542,548,511,502,4,48,41,18,49,4,0,1
101,3920,1,1,2,32,-2,-2,-2,-2,-2,-2,19,286,24,12,3,40,286,24,12,3,40,0,0
102,10640,2,1,2,30,-2,-2,-1,0,0,0,-2,-8,909,921,940,954,6,929,33,34,35,140,0
103,13440,1,1,1,63,0,0,0,2,2,0,11818,12078,13424,13638,13192,13159,450,1559,476,0,504,678,0
104,1400,2,3,2,22,0,0,0,0,0,0,1252,1183,1074,910,657,675,49,38,28,24,28,25,1
105,1680,2,2,2,26,2,2,2,2,2,0,1587,1546,1657,1686,1553,1549,0,140,70,0,84,84,0
106,1960,2,2,2,24,-1,-1,-2,-2,-2,-1,156,0,0,0,0,743,0,0,0,0,743,56,0
107,2240,2,2,1,36,-1,-1,-1,-1,-1,-1,171,80,92,93,32,32,80,92,93,32,32,29,0
108,9800,1,1,2,52,-1,-1,-1,-1,-1,-1,20,64,20,24,32,147,64,20,24,32,147,140,0
109,3640,1,2,2,38,0,0,0,-1,-1,-1,4800,4995,1118,3374,1236,3544,305,0,3742,128,3748,134,0
110,10080,1,2,1,35,1,-2,-2,-2,-2,-2,-3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0
111,9240,2,1,1,31,0,0,2,0,0,0,2965,3036,2957,2965,2982,3004,259,0,101,115,442,0,0
112,1400,1,3,1,47,0,0,2,0,0,0,371,412,425,446,467,487,56,28,28,28,28,28,0
113,7840,1,2,1,41,2,2,2,2,2,3,3799,3879,3775,4043,4261,4184,182,0,399,416,0,140,0
114,2800,2,1,2,24,0,0,0,0,0,0,1460,1475,1525,1570,1683,1672,56,75,86,142,84,57,0
115,1400,1,2,2,41,0,0,0,0,0,0,532,540,567,568,569,559,38,37,20,20,20,19,0
116,840,1,1,2,24,-1,2,0,0,3,2,510,493,522,597,579,594,0,37,84,0,28,28,1
117,6720,1,1,2,28,-1,-1,-1,-1,-1,-1,9,9,9,159,13,9,9,9,159,13,9,15,0
118,2240,1,2,2,26,2,0,0,0,0,0,393,434,466,478,494,509,56,48,28,28,28,28,1
119,11200,1,2,1,34,-1,-1,-1,-1,-1,-1,550,271,332,219,415,223,271,332,219,415,223,160,0
120,6720,2,2,2,38,0,0,0,0,-1,-1,1407,1440,1484,1469,37,34,56,84,84,37,34,16,0
121,1400,1,3,2,37,2,2,2,3,2,2,1288,1287,1371,1368,1381,1432,28,113,28,39,78,0,1
122,12600,1,1,1,40,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
123,3080,2,1,1,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
124,8680,2,2,1,35,2,0,0,0,0,0,8540,8715,8577,7241,6902,5569,365,312,235,241,191,168,1
125,560,1,1,2,27,0,0,0,0,0,0,535,531,540,543,552,438,39,32,17,24,9,0,0
126,560,1,2,2,23,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
127,5600,1,3,2,52,0,0,0,0,0,0,3084,2787,2771,2826,2888,2940,100,100,101,108,103,106,0
128,5040,1,1,1,36,0,0,0,0,0,0,4585,3260,2780,2681,2737,2686,130,75,58,60,62,28,1
129,1400,1,2,1,51,0,0,0,0,0,0,94,109,126,150,178,198,28,30,36,42,34,4,1
130,1680,1,3,1,55,3,2,2,0,0,0,1695,1721,1603,808,826,743,70,0,34,34,31,42,0
131,840,2,1,2,23,1,-2,-2,-2,-1,-1,112,158,98,-1,385,165,158,98,1,386,166,85,0
132,6720,1,1,2,41,1,-1,-1,0,0,-1,3,73,92,89,10,49,73,92,0,10,49,26,0
133,11760,1,2,1,34,0,0,0,0,0,0,7097,6937,6413,6187,5897,5267,273,267,213,219,203,317,0
134,9240,1,3,1,46,0,0,0,0,0,0,6367,6404,6430,6372,6378,6390,230,227,225,229,235,230,0
135,840,2,2,2,22,0,0,0,0,0,0,797,732,748,710,493,-22,56,39,0,14,0,44,0
136,6720,1,2,1,34,0,0,0,2,2,2,299,337,383,372,396,389,42,50,0,28,0,9,0
137,4200,1,1,2,27,0,0,0,0,0,0,488,542,616,689,762,846,70,84,84,84,98,140,0
138,5880,2,2,1,33,0,0,0,0,0,0,201,224,246,257,123,160,42,42,28,14,56,15,0
139,1400,2,3,1,51,-1,-1,-1,-1,-2,-2,21,8,165,0,0,0,8,165,0,0,0,0,1
140,1400,1,1,2,24,0,0,0,0,0,0,1422,1404,1388,544,542,532,66,48,28,25,24,60,0
141,6720,1,1,2,47,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1
142,5040,1,2,2,28,-1,-1,-1,-1,-1,-1,51,0,23,9,12,12,0,12,9,14,98,23,0
143,1400,1,2,2,23,1,2,2,2,0,0,284,303,576,560,557,506,28,280,11,20,22,17,0
144,4760,1,2,2,29,-2,-2,-2,-2,-2,-2,340,280,280,280,280,444,280,280,280,280,444,280,0
145,560,1,1,2,29,-1,-1,-1,-1,0,-1,34,436,10,66,188,9,436,10,66,132,9,9,0
146,1400,1,1,2,28,0,0,0,0,0,3,140,166,205,257,297,284,28,42,56,44,31,0,0
147,4760,2,2,2,27,0,0,0,0,0,0,540,569,584,492,502,255,47,34,10,10,5,0,1
148,5600,1,1,2,34,1,2,0,0,0,0,5523,4933,2606,3799,3703,1676,224,140,1554,140,140,238,0
149,2240,2,2,1,23,1,2,3,2,0,0,257,295,286,277,283,337,46,0,0,11,59,0,0
150,7280,2,1,1,60,1,-2,-1,-1,-1,-1,-31,-31,599,0,27,24,0,630,0,27,28,0,0
151,3920,1,2,1,32,0,0,0,0,2,0,2426,2188,1913,1810,1633,1547,97,87,140,0,59,73,0
152,2240,1,1,2,25,0,0,0,0,0,0,1188,1561,1217,1150,1175,891,840,84,168,224,56,392,0
153,9800,1,1,2,41,1,-1,-1,-1,-1,-2,6,81,28,18,0,0,81,28,18,0,0,0,0
154,7840,2,2,1,56,0,0,0,0,0,0,5846,5106,3703,2850,4960,4741,225,188,144,2800,196,177,0
155,840,2,3,2,26,0,0,0,0,0,0,252,291,320,334,366,398,48,42,28,42,42,42,0
156,3920,1,1,1,34,0,0,0,0,0,0,670,785,898,1208,1318,1364,140,140,333,140,84,154,0
157,5600,2,1,2,37,0,0,0,0,0,0,2952,2880,2510,2546,2590,2633,112,91,91,98,100,140,0
158,5600,2,3,2,30,0,0,0,0,0,0,5489,5492,5307,4681,4115,3425,204,199,215,174,140,126,0
159,5880,1,3,1,45,2,3,4,4,5,6,3242,3441,3636,3844,4075,4315,293,293,310,310,327,293,1
160,1400,1,3,1,57,3,2,0,0,0,0,360,346,377,376,384,394,0,45,14,14,17,17,0
161,840,1,1,2,41,2,2,2,2,2,0,682,769,748,789,772,793,98,0,62,0,34,35,0
162,1400,1,2,2,27,2,-1,-1,-1,-1,2,11,11,22,6,30,15,11,22,6,24,0,11,0
163,8120,1,3,1,47,-1,-1,-1,-1,0,-1,35,11,11,22,11,12,11,11,22,0,12,10,0
164,7000,2,1,1,34,0,0,2,0,0,0,3954,4392,4252,4278,4368,4486,504,0,153,158,191,110,0
165,1680,2,2,1,46,0,0,0,0,0,0,592,666,697,729,746,777,84,42,42,28,42,42,0
166,3080,2,1,2,27,0,0,0,0,0,0,2846,2934,2936,2093,2130,2163,154,109,84,81,84,78,0
167,10360,1,1,2,50,-2,-2,-2,-2,-2,-2,171,424,230,431,134,377,431,230,432,134,377,132,0
168,2800,1,2,1,27,-1,2,2,0,0,0,2866,2712,1647,821,643,-7,89,0,37,39,0,1400,0
169,2520,2,2,1,35,0,0,0,0,0,2,2019,2068,2115,2165,2404,2472,98,98,102,280,112,0,0
170,1400,2,2,2,22,0,0,0,0,0,0,785,815,822,777,793,807,42,40,27,28,36,16,0
171,7560,1,2,2,37,0,0,0,0,0,0,1055,935,855,773,738,690,140,56,84,112,84,56,0
172,8400,2,1,2,30,-1,-1,-1,-1,-1,-1,19,92,0,122,75,22,92,0,122,75,22,21,0
173,1400,2,2,2,22,-1,0,0,0,0,0,240,428,326,209,87,216,420,28,4,0,140,280,0
174,1400,2,1,2,24,1,-2,-2,-2,-2,-2,-20,-20,-20,-81,-92,-92,0,0,0,0,0,0,1
175,10080,1,1,2,29,1,-2,-1,-1,-2,-2,0,0,2,0,0,0,0,2,0,0,0,0,0
176,3640,1,3,1,56,1,2,2,2,2,3,1809,1847,1884,1920,2038,1998,84,84,84,154,0,0,1
177,2240,1,1,2,30,-2,-1,0,0,0,0,173,3,17,40,54,151,14,14,28,14,98,0,0
178,1400,1,2,2,30,1,2,0,0,0,2,1368,1338,1354,846,641,626,0,42,28,56,0,56,0
179,560,2,2,2,22,0,0,0,0,0,0,448,353,370,368,393,417,34,34,14,42,42,28,0
180,2240,2,2,1,29,0,0,2,0,0,0,2181,2291,2247,1721,299,322,162,28,17,11,28,0,0
181,6720,1,1,2,37,-1,-1,2,0,0,-1,342,744,709,745,736,35,420,0,56,0,35,1846,0
182,2240,2,3,2,35,0,-1,0,0,0,0,1389,348,416,486,498,489,350,182,84,56,84,56,0
183,14000,2,1,1,47,0,0,0,0,0,0,1580,3097,3090,3443,3047,1962,1960,850,840,560,1461,560,0
184,1680,2,2,1,24,0,0,0,0,0,0,1625,1621,1367,531,541,543,70,45,84,28,21,56,1
185,560,1,2,2,25,0,0,0,0,0,-1,298,327,366,344,45,45,34,45,17,4,51,0,0
186,2800,2,2,1,38,1,2,0,0,2,0,406,391,429,456,444,461,0,45,42,0,28,42,1
187,10080,2,1,2,32,1,-1,-1,-1,-1,-1,73,1598,148,1916,389,455,1598,148,1917,389,455,1073,0
188,5600,2,3,2,47,2,2,2,2,2,2,5584,5683,5430,5493,5605,5318,230,196,190,200,0,191,1
189,3640,2,2,1,34,1,-1,0,0,0,0,0,151,288,380,388,410,151,140,98,14,28,56,0
190,560,2,2,2,31,1,5,4,4,3,2,608,590,601,583,566,574,0,28,0,0,21,0,0
191,8680,1,1,2,32,0,0,0,0,0,0,1677,1740,1739,1844,1691,1213,281,169,282,141,142,118,0
192,1680,2,1,2,27,2,0,0,0,2,0,550,570,607,644,630,640,38,47,56,0,25,24,1
193,5040,2,1,2,29,-1,-1,-1,-2,-1,0,319,6,0,0,482,477,6,0,0,482,10,143,0
194,5040,2,1,2,24,-1,-1,2,0,0,-2,411,618,596,286,0,0,1060,0,6,0,0,0,0
195,1400,1,2,1,36,0,0,0,0,-1,-1,1338,507,511,0,2,18,56,28,56,14,28,560,0
196,1400,2,1,2,24,1,2,2,2,2,2,1013,1041,1055,1077,1098,1121,53,39,48,43,45,0,1
197,4200,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,3,0,42,0,0,3,0,42,0,0
198,560,2,1,2,22,0,0,0,0,-1,0,519,544,534,233,528,539,42,29,15,560,19,28,0
199,14000,2,1,1,34,-2,-2,-2,-1,-1,-1,12,4,64,35,34,32,4,64,35,34,32,443,0
200,840,2,3,2,22,1,2,2,0,0,0,812,819,787,835,46,0,28,2,48,3,0,0,1
201,5040,2,1,1,38,-2,-2,-2,-2,-2,-2,21,0,0,0,0,0,0,0,0,0,0,0,0
202,3920,1,1,2,31,0,0,2,0,0,2,759,764,504,566,767,303,700,0,84,218,0,70,0
203,3920,2,1,2,26,-1,0,-1,-1,-1,-1,376,504,364,163,378,14,280,364,164,378,14,196,0
204,3360,1,2,2,26,0,0,0,0,0,0,3005,3096,3185,3248,3336,3420,140,140,116,140,140,140,0
205,10080,2,2,1,48,0,0,0,0,0,0,6340,6493,6557,5326,4860,4102,255,204,162,157,157,115,0
206,560,1,3,1,43,-1,-1,0,0,0,0,6,570,567,541,545,541,626,37,35,41,97,48,0
207,2800,1,1,1,47,-1,-1,-1,-1,-1,-1,11,41,11,11,11,0,41,11,11,11,0,67,0
208,5880,2,2,1,41,-1,-1,-1,-1,-1,-1,86,44,10,105,25,0,44,10,105,25,0,12,1
209,2240,2,2,2,24,0,0,0,0,0,0,2286,2284,2229,1387,1386,1388,90,84,57,56,50,50,1
210,9240,2,1,1,50,-1,-1,-1,-1,-2,-2,248,121,80,47,0,48,122,80,48,0,48,7,0
211,6160,1,1,2,24,0,0,0,-1,-1,-1,2957,3050,3123,232,0,2398,140,141,232,0,2398,0,0
212,5880,2,1,1,38,1,-2,-1,0,-1,-1,0,0,7,3,22,34,0,7,0,22,34,269,1
213,1120,2,3,1,43,0,0,0,0,0,0,1071,1089,1067,1014,928,877,48,42,34,42,42,28,0
214,840,1,2,2,39,0,0,0,2,0,0,794,787,515,364,217,225,85,65,0,28,56,4,0
215,13160,1,2,2,27,2,2,2,2,0,0,8304,8493,8620,13439,8544,8679,364,308,0,294,303,290,0
216,840,1,3,1,42,-1,-1,-1,-1,-1,2,11,11,11,7,37,22,11,11,7,41,0,0,0
217,6720,2,2,1,36,1,-2,-2,-2,-2,-2,-26,-26,-26,-26,-26,-26,0,0,0,0,0,0,1
218,2240,1,2,2,36,2,0,0,0,0,0,2220,2198,2199,2240,2135,2191,87,98,95,84,98,84,0
219,3080,2,3,0,31,0,0,0,0,0,0,2520,2358,2220,2053,1787,1770,112,140,84,84,84,251,0
220,8680,2,1,2,38,-1,-1,-1,-1,-2,-2,40,127,4,0,0,0,127,4,0,0,0,0,0
221,10080,2,1,1,40,2,2,2,0,0,0,2945,3233,3140,3211,3300,3367,336,0,165,140,126,132,1
222,9240,2,3,2,45,0,0,0,0,0,0,9385,9379,9395,9348,9401,9243,347,347,339,349,342,327,0
223,8400,2,2,2,35,0,0,0,0,0,0,8165,8324,5758,6043,5837,5950,337,252,476,336,268,420,0
224,8960,2,2,2,33,0,0,0,0,0,0,2566,2633,3041,1846,1227,931,281,527,59,58,141,105,0
225,1400,2,3,2,37,1,3,2,0,0,0,1474,1443,1378,851,847,839,0,1,42,28,34,857,1
226,4760,2,1,2,28,0,0,0,0,0,0,3650,3674,3609,3514,3564,3607,183,136,630,135,137,139,0
227,9800,1,3,1,44,-1,-1,-1,-1,-1,-2,91,75,52,16,0,0,75,52,16,0,0,0,0
228,560,1,2,1,37,0,0,0,0,0,0,461,462,529,526,522,537,45,84,19,19,23,22,0
229,1400,1,2,2,23,2,0,0,0,0,0,1393,1357,1235,595,562,528,67,63,56,20,20,28,1
230,560,2,3,2,24,1,2,0,0,0,0,536,509,483,214,48,0,0,37,14,3,0,90,0
231,1400,2,1,2,24,0,0,0,0,0,0,982,1002,866,544,291,37,59,56,28,7,28,11,0
232,560,1,2,2,23,1,2,0,0,2,0,567,480,472,472,377,283,0,34,28,0,28,280,1
233,1400,1,2,1,26,0,0,-2,-1,-1,0,2878,0,0,73,1276,1304,0,0,73,1276,49,56,0
234,5320,1,2,2,34,2,0,0,0,2,2,3634,3679,3763,3985,3923,4201,140,140,280,0,339,78,1
235,1680,2,2,1,33,0,0,0,0,0,0,1630,1018,586,579,565,544,42,36,28,20,23,17,0
236,2240,1,1,2,35,-1,-1,-1,-1,-1,-1,224,111,192,48,39,558,112,192,48,39,558,68,0
237,4200,2,2,2,27,0,0,0,0,0,0,3567,3081,1443,1243,1033,826,126,49,44,34,30,71,0
238,5880,2,1,2,31,-2,-2,-2,-2,-1,-1,40,0,208,25,170,64,0,208,25,170,64,92,0
239,6720,2,3,1,50,0,0,0,0,0,0,6558,6487,6010,5814,5890,6011,283,256,224,224,224,216,1
240,3920,2,2,3,41,0,0,0,0,0,0,542,608,642,534,459,459,84,56,62,28,84,67,1
241,1680,2,1,2,28,1,2,2,-2,-2,-1,602,578,0,0,0,64,0,0,0,0,64,0,0
242,1400,1,1,2,39,0,0,0,0,0,0,1321,1343,1362,1422,862,444,50,56,84,56,56,56,0
